,Location,value
244,WARRIGAL_RD N of HIGH STREET_RD,29
256,WARRIGAL_RD N of HIGH STREET_RD,49
268,WARRIGAL_RD N of HIGH STREET_RD,66
280,WARRIGAL_RD N of HIGH STREET_RD,74
292,WARRIGAL_RD N of HIGH STREET_RD,97
304,WARRIGAL_RD N of HIGH STREET_RD,158
316,WARRIGAL_RD N of HIGH STREET_RD,242
328,WARRIGAL_RD N of HIGH STREET_RD,274
340,WARRIGAL_RD N of HIGH STREET_RD,251
352,WARRIGAL_RD N of HIGH STREET_RD,337
364,WARRIGAL_RD N of HIGH STREET_RD,421
376,WARRIGAL_RD N of HIGH STREET_RD,326
388,WARRIGAL_RD N of HIGH STREET_RD,419
400,WARRIGAL_RD N of HIGH STREET_RD,373
