,Location,value
24,WARRIGAL_RD N of HIGH STREET_RD,30
43,WARRIGAL_RD N of HIGH STREET_RD,27
62,WARRIGAL_RD N of HIGH STREET_RD,13
81,WARRIGAL_RD N of HIGH STREET_RD,19
100,WARRIGAL_RD N of HIGH STREET_RD,16
119,WARRIGAL_RD N of HIGH STREET_RD,21
138,WARRIGAL_RD N of HIGH STREET_RD,18
157,WARRIGAL_RD N of HIGH STREET_RD,18
176,WARRIGAL_RD N of HIGH STREET_RD,8
195,WARRIGAL_RD N of HIGH STREET_RD,1
214,WARRIGAL_RD N of HIGH STREET_RD,9
233,WARRIGAL_RD N of HIGH STREET_RD,10
252,WARRIGAL_RD N of HIGH STREET_RD,8
271,WARRIGAL_RD N of HIGH STREET_RD,10
290,WARRIGAL_RD N of HIGH STREET_RD,11
309,WARRIGAL_RD N of HIGH STREET_RD,13
328,WARRIGAL_RD N of HIGH STREET_RD,11
347,WARRIGAL_RD N of HIGH STREET_RD,16
366,WARRIGAL_RD N of HIGH STREET_RD,14
385,WARRIGAL_RD N of HIGH STREET_RD,20
404,WARRIGAL_RD N of HIGH STREET_RD,35
423,WARRIGAL_RD N of HIGH STREET_RD,52
442,WARRIGAL_RD N of HIGH STREET_RD,63
461,WARRIGAL_RD N of HIGH STREET_RD,96
480,WARRIGAL_RD N of HIGH STREET_RD,172
499,WARRIGAL_RD N of HIGH STREET_RD,230
518,WARRIGAL_RD N of HIGH STREET_RD,251
